Nhóm ngành,Tên ngành,Mã ngành,Tên trường,Mã trường,Tổ hợp môn,Điểm chuẩn
Kỹ thuật,Công nghệ thông tin,7480201,Đại học Kiến trúc Hà Nội,KTA,"A00,A01,D01,D07",24.75
Kỹ thuật,Công nghệ thông tin( Việt- Pháp),7480201,Đại học Hải Phòng,THP,"A00,A01,C01,D01",17.5
Kỹ thuật,Điện tử- Viễn thông,7510302,Đại học công nghiệp Hà Nội,DCN,"A00,A01",23.05
Kỹ thuật,Điện tử- Viễn thông,7510302,Đại học Công nghệ Thông tin và Truyền thông - Đại học Thái Nguyên,DTC,"A00,C01,C14,D01",16
Kỹ thuật,"Chương trình tiên tiến- Kĩ thuật điện tử, viễn thông",ET-E4Y,Đại học Bách khoa Hà Nội,BKA,"A00,A01",24.19
Kỹ thuật,Công nghệ kĩ thuật xây dựng ,CN5,Đại học Công nghệ - Đại học Quốc gia Hà Nội,QHI,"A00,A01,D01",22
Kỹ thuật,Công nghệ kĩ thuật xây dựng,7510103,Đại học Hải Phòng,THP,"A00,A01,C01,D01",14
Kỹ thuật,Công nghệ kĩ thuật xây dựng dân dụng và công nghiệp,7510102,Đại Học Điện Lực,DDl,"A00,A01,D01,D07",17
Kỹ thuật,Công nghệ kĩ thuật cơ điện tử,7510203,Đại học Công nghiệp Hà Nội,DCN,"A00,A01",24.95
Kỹ thuật,Kĩ thuật cơ điện tử,7520114,Đại học Giao thông vận tải,GHA,"A00,A01,D01,D07",24.85
Kỹ thuật,Kĩ thuật cơ khí,7520103,Đại học Mỏ - Địa chất,MDA,"A00,A01,C01",16
Kỹ thuật,Công nghệ kĩ thuật điều khiển và tự động hóa,7510303,Đại học Công nghiệp Hà Nội,DCN,"A00,A01",25.85
Kỹ thuật,Ngành kĩ thuật điều khiển và tự động hóa,7520216,Đại học Mỏ - Địa chất,MDA,"A00,A01,C01",22
Kỹ thuật,Ngành kĩ thuật điều khiển và tự động hóa,7520216,Đại Học Giao Thông Vận Tải (Cơ sở Phía Bắc),GHA,K01,16.1
Kinh doanh,Bất động sản,7340116,Đại học Tài nguyên và Môi trường Hà Nội,DMT,"A00,A01,C00,D01",25.5
Kinh doanh,Bất động sản,7340116,Đại học Nông Lâm Thái Nguyên,DTN,"A00,A02,C00,D10",16.5
Kinh doanh,Bất động sản,7340116,Đại học Kinh tế Quốc dân,KHA,"A00,A01,D01,D07",26.65
Kinh doanh,Kinh tế đầu tư,7310104,Đại học Kinh tế Quốc dân,KHA,"A00,A01,B00,D01",27.5
Kinh doanh,Kinh tế,7310101,Đại Học Lao Động - Xã Hội (Cơ sở Hà Nội),DLX,"A00,A01,D01",22.8
Kinh doanh,Kinh tế,7310101,Đại học Hải Phòng,THP,"A00,A01,C01,D01",14
Kinh doanh,Quản trị khách sạn,7810201,Đại học Thủ đô Hà Nội,HNM,"D01,D14,D15,D78",29.65
Kinh doanh,Quản trị dịch vụ du lịch và lữ hành,7810103,Đại học Văn hóa Hà Nội,VHH,"A16,A18,D01,D78,D96",26.5
